harpnum,timestamp,filename,goes_class
1,2010-05-01 00:00:00,hmi.sharp_cea_720s.1.20100501_000000_TAI.magnetogram.fits,0
1,2010-05-01 12:00:00,hmi.sharp_cea_720s.1.20100501_120000_TAI.magnetogram.fits,0
1,2010-05-02 00:00:00,hmi.sharp_cea_720s.1.20100502_000000_TAI.magnetogram.fits,0
1,2010-05-02 12:00:00,hmi.sharp_cea_720s.1.20100502_120000_TAI.magnetogram.fits,0
1,2010-05-03 00:00:00,hmi.sharp_cea_720s.1.20100503_000000_TAI.magnetogram.fits,0
1,2010-05-03 12:00:00,hmi.sharp_cea_720s.1.20100503_120000_TAI.magnetogram.fits,0
1,2010-05-04 00:00:00,hmi.sharp_cea_720s.1.20100504_000000_TAI.magnetogram.fits,0
2,2010-05-01 00:00:00,hmi.sharp_cea_720s.2.20100501_000000_TAI.magnetogram.fits,0
8,2010-05-04 00:00:00,hmi.sharp_cea_720s.8.20100504_000000_TAI.magnetogram.fits,0
8,2010-05-04 12:00:00,hmi.sharp_cea_720s.8.20100504_120000_TAI.magnetogram.fits,0
8,2010-05-05 00:00:00,hmi.sharp_cea_720s.8.20100505_000000_TAI.magnetogram.fits,1
8,2010-05-05 12:00:00,hmi.sharp_cea_720s.8.20100505_120000_TAI.magnetogram.fits,1
8,2010-05-06 00:00:00,hmi.sharp_cea_720s.8.20100506_000000_TAI.magnetogram.fits,0
8,2010-05-06 12:00:00,hmi.sharp_cea_720s.8.20100506_120000_TAI.magnetogram.fits,0
8,2010-05-07 00:00:00,hmi.sharp_cea_720s.8.20100507_000000_TAI.magnetogram.fits,0
8,2010-05-07 12:00:00,hmi.sharp_cea_720s.8.20100507_120000_TAI.magnetogram.fits,0
8,2010-05-08 00:00:00,hmi.sharp_cea_720s.8.20100508_000000_TAI.magnetogram.fits,0
8,2010-05-08 12:00:00,hmi.sharp_cea_720s.8.20100508_120000_TAI.magnetogram.fits,0
8,2010-05-09 00:00:00,hmi.sharp_cea_720s.8.20100509_000000_TAI.magnetogram.fits,0
8,2010-05-09 12:00:00,hmi.sharp_cea_720s.8.20100509_120000_TAI.magnetogram.fits,0
8,2010-05-10 00:00:00,hmi.sharp_cea_720s.8.20100510_000000_TAI.magnetogram.fits,0
10,2010-05-03 00:00:00,hmi.sharp_cea_720s.10.20100503_000000_TAI.magnetogram.fits,0
10,2010-05-03 12:00:00,hmi.sharp_cea_720s.10.20100503_120000_TAI.magnetogram.fits,0
11,2010-05-03 00:00:00,hmi.sharp_cea_720s.11.20100503_000000_TAI.magnetogram.fits,0
12,2010-05-04 00:00:00,hmi.sharp_cea_720s.12.20100504_000000_TAI.magnetogram.fits,0
12,2010-05-04 12:00:00,hmi.sharp_cea_720s.12.20100504_120000_TAI.magnetogram.fits,0
12,2010-05-05 00:00:00,hmi.sharp_cea_720s.12.20100505_000000_TAI.magnetogram.fits,0
26,2010-05-22 00:00:00,hmi.sharp_cea_720s.26.20100522_000000_TAI.magnetogram.fits,0
26,2010-05-22 12:00:00,hmi.sharp_cea_720s.26.20100522_120000_TAI.magnetogram.fits,0
26,2010-05-23 00:00:00,hmi.sharp_cea_720s.26.20100523_000000_TAI.magnetogram.fits,0
26,2010-05-23 12:00:00,hmi.sharp_cea_720s.26.20100523_120000_TAI.magnetogram.fits,0
40,2010-06-02 00:00:00,hmi.sharp_cea_720s.40.20100602_000000_TAI.magnetogram.fits,0
43,2010-06-06 00:00:00,hmi.sharp_cea_720s.43.20100606_000000_TAI.magnetogram.fits,0
45,2010-06-07 00:00:00,hmi.sharp_cea_720s.45.20100607_000000_TAI.magnetogram.fits,0
46,2010-06-08 00:00:00,hmi.sharp_cea_720s.46.20100608_000000_TAI.magnetogram.fits,0
46,2010-06-08 12:00:00,hmi.sharp_cea_720s.46.20100608_120000_TAI.magnetogram.fits,0
46,2010-06-09 00:00:00,hmi.sharp_cea_720s.46.20100609_000000_TAI.magnetogram.fits,0
49,2010-06-13 00:00:00,hmi.sharp_cea_720s.49.20100613_000000_TAI.magnetogram.fits,1
51,2010-06-12 00:00:00,hmi.sharp_cea_720s.51.20100612_000000_TAI.magnetogram.fits,0
51,2010-06-12 12:00:00,hmi.sharp_cea_720s.51.20100612_120000_TAI.magnetogram.fits,0
51,2010-06-13 00:00:00,hmi.sharp_cea_720s.51.20100613_000000_TAI.magnetogram.fits,0
54,2010-06-11 00:00:00,hmi.sharp_cea_720s.54.20100611_000000_TAI.magnetogram.fits,0
54,2010-06-11 12:00:00,hmi.sharp_cea_720s.54.20100611_120000_TAI.magnetogram.fits,1
54,2010-06-12 00:00:00,hmi.sharp_cea_720s.54.20100612_000000_TAI.magnetogram.fits,1
54,2010-06-12 12:00:00,hmi.sharp_cea_720s.54.20100612_120000_TAI.magnetogram.fits,0
54,2010-06-13 00:00:00,hmi.sharp_cea_720s.54.20100613_000000_TAI.magnetogram.fits,0
54,2010-06-13 12:00:00,hmi.sharp_cea_720s.54.20100613_120000_TAI.magnetogram.fits,0
54,2010-06-14 00:00:00,hmi.sharp_cea_720s.54.20100614_000000_TAI.magnetogram.fits,0
57,2010-06-17 00:00:00,hmi.sharp_cea_720s.57.20100617_000000_TAI.magnetogram.fits,0
57,2010-06-17 12:00:00,hmi.sharp_cea_720s.57.20100617_120000_TAI.magnetogram.fits,0
57,2010-06-18 00:00:00,hmi.sharp_cea_720s.57.20100618_000000_TAI.magnetogram.fits,0
57,2010-06-18 12:00:00,hmi.sharp_cea_720s.57.20100618_120000_TAI.magnetogram.fits,0
57,2010-06-19 00:00:00,hmi.sharp_cea_720s.57.20100619_000000_TAI.magnetogram.fits,0
57,2010-06-19 12:00:00,hmi.sharp_cea_720s.57.20100619_120000_TAI.magnetogram.fits,0
57,2010-06-20 00:00:00,hmi.sharp_cea_720s.57.20100620_000000_TAI.magnetogram.fits,0
57,2010-06-20 12:00:00,hmi.sharp_cea_720s.57.20100620_120000_TAI.magnetogram.fits,0
57,2010-06-21 00:00:00,hmi.sharp_cea_720s.57.20100621_000000_TAI.magnetogram.fits,0
71,2010-07-01 00:00:00,hmi.sharp_cea_720s.71.20100701_000000_TAI.magnetogram.fits,0
83,2010-07-06 00:00:00,hmi.sharp_cea_720s.83.20100706_000000_TAI.magnetogram.fits,0
86,2010-07-07 00:00:00,hmi.sharp_cea_720s.86.20100707_000000_TAI.magnetogram.fits,0
86,2010-07-07 12:00:00,hmi.sharp_cea_720s.86.20100707_120000_TAI.magnetogram.fits,0
86,2010-07-08 00:00:00,hmi.sharp_cea_720s.86.20100708_000000_TAI.magnetogram.fits,0
86,2010-07-08 12:00:00,hmi.sharp_cea_720s.86.20100708_120000_TAI.magnetogram.fits,0
86,2010-07-09 00:00:00,hmi.sharp_cea_720s.86.20100709_000000_TAI.magnetogram.fits,0
86,2010-07-09 12:00:00,hmi.sharp_cea_720s.86.20100709_120000_TAI.magnetogram.fits,0
86,2010-07-10 00:00:00,hmi.sharp_cea_720s.86.20100710_000000_TAI.magnetogram.fits,0
86,2010-07-10 12:00:00,hmi.sharp_cea_720s.86.20100710_120000_TAI.magnetogram.fits,0
86,2010-07-11 00:00:00,hmi.sharp_cea_720s.86.20100711_000000_TAI.magnetogram.fits,0
86,2010-07-11 12:00:00,hmi.sharp_cea_720s.86.20100711_120000_TAI.magnetogram.fits,0
86,2010-07-12 00:00:00,hmi.sharp_cea_720s.86.20100712_000000_TAI.magnetogram.fits,0
86,2010-07-12 12:00:00,hmi.sharp_cea_720s.86.20100712_120000_TAI.magnetogram.fits,0
86,2010-07-13 00:00:00,hmi.sharp_cea_720s.86.20100713_000000_TAI.magnetogram.fits,0
86,2010-07-13 12:00:00,hmi.sharp_cea_720s.86.20100713_120000_TAI.magnetogram.fits,0
86,2010-07-14 00:00:00,hmi.sharp_cea_720s.86.20100714_000000_TAI.magnetogram.fits,0
86,2010-07-14 12:00:00,hmi.sharp_cea_720s.86.20100714_120000_TAI.magnetogram.fits,0
86,2010-07-15 00:00:00,hmi.sharp_cea_720s.86.20100715_000000_TAI.magnetogram.fits,0
86,2010-07-15 12:00:00,hmi.sharp_cea_720s.86.20100715_120000_TAI.magnetogram.fits,0
86,2010-07-16 00:00:00,hmi.sharp_cea_720s.86.20100716_000000_TAI.magnetogram.fits,0
86,2010-07-16 12:00:00,hmi.sharp_cea_720s.86.20100716_120000_TAI.magnetogram.fits,0
86,2010-07-17 00:00:00,hmi.sharp_cea_720s.86.20100717_000000_TAI.magnetogram.fits,0
86,2010-07-17 12:00:00,hmi.sharp_cea_720s.86.20100717_120000_TAI.magnetogram.fits,0
86,2010-07-18 00:00:00,hmi.sharp_cea_720s.86.20100718_000000_TAI.magnetogram.fits,0
86,2010-07-18 12:00:00,hmi.sharp_cea_720s.86.20100718_120000_TAI.magnetogram.fits,0
86,2010-07-19 00:00:00,hmi.sharp_cea_720s.86.20100719_000000_TAI.magnetogram.fits,0
86,2010-07-19 12:00:00,hmi.sharp_cea_720s.86.20100719_120000_TAI.magnetogram.fits,0
86,2010-07-20 00:00:00,hmi.sharp_cea_720s.86.20100720_000000_TAI.magnetogram.fits,0
86,2010-07-20 12:00:00,hmi.sharp_cea_720s.86.20100720_120000_TAI.magnetogram.fits,0
86,2010-07-21 00:00:00,hmi.sharp_cea_720s.86.20100721_000000_TAI.magnetogram.fits,0
86,2010-07-21 12:00:00,hmi.sharp_cea_720s.86.20100721_120000_TAI.magnetogram.fits,0
86,2010-07-22 00:00:00,hmi.sharp_cea_720s.86.20100722_000000_TAI.magnetogram.fits,0
92,2010-07-19 00:00:00,hmi.sharp_cea_720s.92.20100719_000000_TAI.magnetogram.fits,0
92,2010-07-19 12:00:00,hmi.sharp_cea_720s.92.20100719_120000_TAI.magnetogram.fits,0
92,2010-07-20 00:00:00,hmi.sharp_cea_720s.92.20100720_000000_TAI.magnetogram.fits,0
92,2010-07-20 12:00:00,hmi.sharp_cea_720s.92.20100720_120000_TAI.magnetogram.fits,0
92,2010-07-21 00:00:00,hmi.sharp_cea_720s.92.20100721_000000_TAI.magnetogram.fits,0
92,2010-07-21 12:00:00,hmi.sharp_cea_720s.92.20100721_120000_TAI.magnetogram.fits,0
92,2010-07-22 00:00:00,hmi.sharp_cea_720s.92.20100722_000000_TAI.magnetogram.fits,0
92,2010-07-22 12:00:00,hmi.sharp_cea_720s.92.20100722_120000_TAI.magnetogram.fits,0
92,2010-07-23 00:00:00,hmi.sharp_cea_720s.92.20100723_000000_TAI.magnetogram.fits,0
92,2010-07-23 12:00:00,hmi.sharp_cea_720s.92.20100723_120000_TAI.magnetogram.fits,0
92,2010-07-24 00:00:00,hmi.sharp_cea_720s.92.20100724_000000_TAI.magnetogram.fits,0
92,2010-07-24 12:00:00,hmi.sharp_cea_720s.92.20100724_120000_TAI.magnetogram.fits,0
92,2010-07-25 00:00:00,hmi.sharp_cea_720s.92.20100725_000000_TAI.magnetogram.fits,0
92,2010-07-25 12:00:00,hmi.sharp_cea_720s.92.20100725_120000_TAI.magnetogram.fits,0
92,2010-07-26 00:00:00,hmi.sharp_cea_720s.92.20100726_000000_TAI.magnetogram.fits,0
92,2010-07-26 12:00:00,hmi.sharp_cea_720s.92.20100726_120000_TAI.magnetogram.fits,0
92,2010-07-27 00:00:00,hmi.sharp_cea_720s.92.20100727_000000_TAI.magnetogram.fits,0
92,2010-07-27 12:00:00,hmi.sharp_cea_720s.92.20100727_120000_TAI.magnetogram.fits,0
92,2010-07-28 00:00:00,hmi.sharp_cea_720s.92.20100728_000000_TAI.magnetogram.fits,0
